Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
HW220621,288,main,9,3,aslg0910,The horse kicked the rider.,horse,kicked,rider,NA,1728,aslg0910_4ch.wav,0.785398163397448,1,-1.89651827106829,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\aslg0910_4ch.wav,254012.2130314,254012.2131184,0.201863900001626,0.201925700006541,0.136,254012.5270314,0.362496600020677,NaN,NaN,NaN,0.85,254013.2630314,1.05171530001098,1.05179749999661,1.35342090000631,1.35349159999168,NaN,NaN,1.728,254014.3103672,254014.4130314,2.20158340001944,2.20165249999263,254015.9130314,NaN,NaN,3.70160390000092,3.70167440001387,254017.4130314,5.2168692,5.20173689999501,5.20180690000416,NaN,NaN,NaN,0,0,254014.4173835,0.00276869998197071,1,1,254016.053974,0.139338700013468,NaN,NaN,NaN,NaN
HW220621,289,main,9,3,aslg1304,Mother served the soup.,Mother,served,soup,NA,1589.333333,aslg1304_4ch.wav,-0.164251732234502,0,-2.86022832087716,-0.94964989563195,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\aslg1304_4ch.wav,254017.4415425,254017.44164,0.201834000006784,0.201904300018214,0.2053333335,254017.824875833,0.383333333506016,NaN,NaN,NaN,0.85,254018.4915425,1.05165050001233,1.05174280001665,1.35331340000266,1.35338220000267,NaN,NaN,1.58933333333333,254019.413355733,254019.6415425,2.20159510002122,2.20167589999619,254021.1415425,NaN,NaN,3.70819600002142,3.70823180000298,254022.6415425,5.215861,5.20168410000042,5.20175330000347,NaN,NaN,NaN,NaN,0,NaN,9999,1,0,254021.5195545,0.36981599999126,NaN,NaN,NaN,NaN
HW220621,290,main,9,3,aslg1601,They did their homework.,They,did,homework,NA,1098.666667,aslg1601_4ch.wav,0.785398163397448,1,-3.03874030702074,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\aslg1601_4ch.wav,254022.6699927,254022.6700977,0.201800700015156,0.201872900011949,0.4506666665,254023.298659366,0.628666666510981,NaN,NaN,NaN,0.85,254023.7199927,1.05168660002528,1.05179450000287,1.3533679000102,1.35343990000547,NaN,NaN,1.09866666666667,254024.397586567,254024.8699927,2.20165030000499,2.2017553000187,254026.3699927,NaN,NaN,3.70161070002359,3.70167940002284,254027.8699927,5.2162287,5.20186670002295,5.20188970002346,NaN,NaN,NaN,0,0,254025.3419289,0.470285899995361,NaN,0,NaN,9999,NaN,NaN,NaN,NaN
HW220621,291,main,9,1,bkbg1205,The taps are above the sink,taps,above,sink,NA,1760,bkbg1205_8ch.wav,0.785398163397448,1,0.96163964883649,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\bkbg1205_8ch.wav,254040.2893355,254040.2894121,0.201732099987566,0.20183169998927,0.12,254040.5873355,0.369956699985778,NaN,NaN,NaN,0.85,254041.3393355,1.05169579997892,1.05176649999339,1.35393499999191,1.35401749997982,NaN,NaN,1.76,254042.4263116,254042.4893355,2.20143999997526,2.20149609999498,254043.9893355,NaN,NaN,3.70784019998973,3.70787549999659,254045.4893355,5.2084059,5.20160749999923,5.20167899999069,NaN,NaN,NaN,NaN,0,NaN,9999,1,1,254044.1056684,0.108492700004717,NaN,NaN,NaN,NaN
HW220621,292,main,9,1,bkbg1703,The sky was very blue,sky,very,blue,NA,1589.333333,bkbg1703_8ch.wav,1.78721409322366,0,-1.20706684564159,1.00181592982621,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\bkbg1703_8ch.wav,254045.5150445,254045.5151335,0.201992799993604,0.20206579999649,0.2053333335,254045.898377834,0.383333333506016,NaN,NaN,NaN,0.85,254046.5650445,1.0517564000038,1.05182930000592,1.35334199998761,1.35340759999235,NaN,NaN,1.58933333333333,254047.4936201,254047.7150445,2.20166709998739,2.20207759999903,254049.2150445,NaN,NaN,3.70162509998772,3.70169409998925,254050.7150445,5.2163067,5.20163170000887,5.20172079998883,NaN,NaN,NaN,0,0,254048.1092523,0.392540700006066,1,0,254049.6173327,0.400663100008387,NaN,NaN,NaN,NaN
HW220621,293,main,9,1,bkbg0113,A cat sits on the bed,cat,sits,on,bed,1642.666667,bkbg0113_8ch.wav,0.785398163397448,1,1.3510166162486,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\bkbg0113_8ch.wav,254050.7434562,254050.7435445,0.201988100016024,0.202059000002919,0.1786666665,254051.100122867,0.360878600011347,NaN,NaN,NaN,0.85,254051.7934562,1.05175869999221,1.05183360000956,1.35342100000707,1.35349030001089,NaN,NaN,1.64266666666667,254052.752456767,254052.9434562,2.2015997999988,2.20166880000033,254054.4434562,NaN,NaN,3.70815200000652,3.708186200005,254055.9434562,5.2163486,5.20166099999915,5.20172360001015,NaN,NaN,NaN,NaN,0,NaN,9999,1,1,254054.9790436,0.527435399999376,NaN,NaN,NaN,NaN
HW220621,294,main,9,1,bkbg1010,They’re cycling along,Theyre,cycling,along,NA,1237.333333,bkbg1010_8ch.wav,-0.244620755163572,0,-0.179732119171979,-1.03001891856102,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\bkbg1010_8ch.wav,254055.9719387,254055.9720464,0.201865199982421,0.201930199982598,0.3813333335,254056.531272034,0.559333333512768,NaN,NaN,NaN,0.85,254057.0219387,1.05164799999329,1.05193159999908,1.35332470000139,1.35341029998381,NaN,NaN,1.23733333333333,254057.768876567,254058.1719387,2.20153679998475,2.20159919999423,254059.6719387,NaN,NaN,3.70162139998865,3.70169059999171,254061.1719387,5.2162023,5.2016883000033,5.20178489998216,NaN,NaN,NaN,0,0,254058.1762299,0.00275440001860261,1,0,254059.6746169,0.00105680001433939,NaN,NaN,NaN,NaN
HW220621,295,main,9,1,bkbg1710,The scissors are quite sharp,scissors,quite,sharp,NA,1546.666667,bkbg1710_8ch.wav,0.785398163397448,1,-2.75187304549261,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\bkbg1710_8ch.wav,254061.2003206,254061.2004222,0.201809499994852,0.201880999986315,0.2266666665,254061.604987267,0.404666666523553,NaN,NaN,NaN,0.85,254062.2503206,1.05165529999067,1.05174439999973,1.35334390000207,1.35341219999827,NaN,NaN,1.54666666666667,254063.152270033,254063.4003206,2.20301999998628,2.2030897999939,254064.9003206,NaN,NaN,3.70157189999009,3.70164089999162,254066.4003206,5.215902,5.20169829999213,5.20176840000204,NaN,NaN,NaN,1,1,254063.5635289,0.160188300011214,0,0,254065.1051345,0.203241999988677,NaN,NaN,NaN,NaN
HW220621,296,main,9,1,aslg0412,The baker iced the cake.,baker,iced,cake,NA,1568,aslg0412_8ch.wav,0.785398163397448,1,-0.565825045736472,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\aslg0412_8ch.wav,254066.4287685,254066.4288763,0.201795600005426,0.201866400020663,0.216,254066.8227685,0.394000000000233,NaN,NaN,NaN,0.85,254067.4787685,1.05166050000116,1.05174650001572,1.3533396999992,1.35341820001486,NaN,NaN,1.568,254068.3889903,254068.6287685,2.20168860000558,2.20175279999967,254070.1287685,NaN,NaN,3.70160330002545,3.70167260000017,254071.6287685,5.2159139,5.20170350000262,5.20181140000932,NaN,NaN,NaN,0,0,254068.987839,0.357381900015753,1,1,254070.4729203,0.342548499989789,NaN,NaN,NaN,NaN
HW220621,297,main,9,2,bkbg1814,The snow lay on the roof,snow,lay,roof,NA,1696,bkbg1814_8ch.wav,0.637752638786987,0,2.10882627503116,-0.147645524610462,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v3_220616_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot_moreoldsentences_moreprac\audiostim\main\bkbg1814_8ch.wav,254084.1535512,254084.153618,0.201686599990353,0.201772600004915,0.152,254084.4835512,0.363846699998248,NaN,NaN,NaN,0.85,254085.2035512,1.05170149999321,1.05178290000185,1.35339229999227,1.35346230000141,NaN,NaN,1.696,254086.2182812,254086.3535512,2.20164169999771,2.20171120000305,254087.8535512,NaN,NaN,3.70162239999627,3.70169089999399,254089.3535512,5.2084803,5.20170209999196,5.2017746999918,NaN,NaN,NaN,1,1,254086.9015461,0.546353200013982,0,1,254088.0348795,0.179705899994588,NaN,NaN,NaN,NaN
