Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
WB221109,33,main,3,2,bkbg1510,Flowers grow in the garden,Flowers,grow,garden,NA,1578.666667,bkbg1510_8ch.wav,0.785398163397448,1,-0.308107094502505,0
WB221109,34,main,3,2,aslg1703,The ice rink was closed,ice,rink,closed,NA,1738.666667,aslg1703_8ch.wav,1.05099521374929,0,1.79499931863385,0.265597050351844
WB221109,35,main,3,2,aslg0703,The man painted the gate,man,painted,gate,NA,1888,aslg0703_8ch.wav,0.663169833847258,0,1.96529164473895,-0.122228329550191
WB221109,36,main,3,2,bkbg1904,The washing machine broke,washing,machine,broke,NA,1557.333333,bkbg1904_8ch.wav,0.785398163397448,1,-1.5411391093118,0
WB221109,37,main,3,4,aslg0804,The plant grows on the wall,plant,grows,wall,NA,1759.729167,aslg0804_4ch.wav,1.08884614285965,0,-0.157971536417135,0.303447979462198
WB221109,38,main,3,4,aslg0203,She brought her camera,She,brought,camera,NA,1450.666667,aslg0203_4ch.wav,1.04203380506701,0,0.0357640652587396,0.256635641669563
WB221109,39,main,3,4,bkbg0602,The mother stirs the tea,mother,stirs,tea,NA,1546.666667,bkbg0602_4ch.wav,0.785398163397448,1,-2.48517246934049,0
WB221109,40,main,3,4,aslg0605,She's listening to the radio,Shes,listening,radio,NA,1568,aslg0605_4ch.wav,0.785398163397448,1,-1.18638449399671,0
WB221109,41,main,3,3,bkbg1006,The kitchen clock was wrong,kitchen,clock,wrong,NA,1610.666667,bkbg1006_4ch.wav,1.70737125137025,0,2.07329448303427,0.921973087972804
WB221109,42,main,3,3,aslg1408,The rose bush was blooming,rose,bush,blooming,NA,1525.333333,aslg1408_4ch.wav,0.785398163397448,1,1.69873353130494,0
WB221109,43,main,3,3,bkbg0604,Men wear long trousers,Men,wear,long,trousers,1642.666667,bkbg0604_4ch.wav,0.785398163397448,1,2.0884393944132,0
WB221109,44,main,3,3,aslg0714,The boy eats with his fork,boy,eats,fork,NA,1717.333333,aslg0714_4ch.wav,-0.246750288279746,0,2.39493309738916,-1.03214845167719
WB221109,45,main,4,4,bkbg1701,The apple pie's cooking,apple,pies,cooking,NA,1504,bkbg1701_4ch.wav,1.05697280447821,0,-1.85695654357513,0.271574641080763
WB221109,46,main,4,4,bkbg1304,She argued with her sister,She,argued,sister,NA,1589.333333,bkbg1304_4ch.wav,0.785398163397448,1,-0.740547824396261,0
WB221109,47,main,4,4,bkbg1912,The boy slipped on the stairs,boy,slipped,on,stairs,1877.333333,bkbg1912_4ch.wav,0.640879821282351,0,-0.784713397706172,-0.144518342115097
WB221109,48,main,4,4,aslg1403,The lorry drove up the hill,lorry,drove,hill,NA,1461.333333,aslg1403_4ch.wav,0.989214162598974,0,0.171401647625844,0.203815999201526
WB221109,49,main,4,4,bkbg0204,The old gloves are dirty,old,gloves,dirty,NA,1504,bkbg0204_4ch.wav,0.785398163397448,1,-0.656318669466968,0
WB221109,50,main,4,4,bkbg0112,The boy did a handstand,boy,did,handstand,NA,1685.333333,bkbg0112_4ch.wav,0.649190960130763,0,-1.54464980974672,-0.136207203266685
WB221109,51,main,4,3,aslg0215,The children sit under the tree,children,sit,tree,NA,1696,aslg0215_4ch.wav,0.785398163397448,1,1.18827775430177,0
WB221109,52,main,4,3,bkbg1813,The police help the driver,police,help,driver,NA,1674.666667,bkbg1813_4ch.wav,-0.113169942373532,0,-2.06700168459822,-0.89856810577098
WB221109,53,main,4,3,aslg0611,The leaves dropped from the trees,leaves,dropped,trees,NA,1966.166667,aslg0611_4ch.wav,-0.164236294641462,0,2.19060215979533,-0.94963445803891
WB221109,54,main,4,3,bkbg2011,The girl caught a cold,girl,caught,cold,NA,1418.666667,bkbg2011_4ch.wav,0.785398163397448,1,-2.62493716587405,0
WB221109,55,main,4,3,aslg1608,The father answered the door,father,answered,door,NA,1493.333333,aslg1608_4ch.wav,1.70930848089838,0,0.101302869731801,0.923910317500933
WB221109,56,main,4,3,bkbg2001,The boy got into trouble,boy,got,trouble,NA,1482.666667,bkbg2001_4ch.wav,1.74826376257532,0,2.93222239114528,0.962865599177873
WB221109,57,main,4,4,bkbg0907,The five men are working,five,men,working,NA,1493.333333,bkbg0907_4ch.wav,0.785398163397448,1,2.95913327614307,0
WB221109,58,main,4,4,bkbg0404,A boy ran down the path,boy,ran,path,NA,1770.666667,bkbg0404_4ch.wav,0.785398163397448,1,0.763284042852576,0
WB221109,59,main,4,4,aslg1309,She tore her dress,She,tore,dress,NA,1365.333333,aslg1309_4ch.wav,1.08927773475178,0,-2.86747302129666,0.303879571354332
WB221109,60,main,4,4,bkbg1504,The shop closed for lunch,shop,closed,lunch,NA,1866.666667,bkbg1504_4ch.wav,0.785398163397448,1,1.16352393843559,0
WB221109,61,main,4,4,bkbg0712,The father forgot the bread,father,forgot,bread,NA,1610.666667,bkbg0712_4ch.wav,0.919396558583015,0,-1.71564567674658,0.133998395185567
WB221109,62,main,4,4,bkbg1008,Someone’s crossing the road,Someones,crossing,road,NA,1600,bkbg1008_4ch.wav,0.785398163397448,1,1.42340140652265,0
WB221109,63,main,4,2,aslg1805,The little girl was staring,little,girl,staring,NA,1770.666667,aslg1805_8ch.wav,0.785398163397448,1,2.79196285000693,0
WB221109,64,main,4,2,bkbg1708,The lady sat on her chair,lady,sat,chair,NA,1696,bkbg1708_8ch.wav,0.488533911532051,0,-1.01944833400954,-0.296864251865397
WB221109,65,main,4,2,bkbg1305,A man told the police,man,told,police,NA,1653.333333,bkbg1305_8ch.wav,0.785398163397448,1,-0.118536965945482,0
WB221109,66,main,4,2,bkbg0706,Mother fetches a saucepan,Mother,fetches,saucepan,NA,1642.666667,bkbg0706_8ch.wav,0.630150255100909,0,2.58699874486172,-0.155247908296539
