Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
EL221026,34,main,3,2,bkbg1706,People are going home,People,going,home,NA,1376,bkbg1706_8ch.wav,0.785398163397448,1,0.714715769655892,0
EL221026,35,main,3,2,aslg1505,The family ate supper,family,ate,supper,NA,1605.333333,aslg1505_8ch.wav,0.484122100907342,0,2.6697588127144,-0.301276062490107
EL221026,36,main,3,2,bkbg1102,The dogs go for a walk,dogs,go,walk,NA,1557.333333,bkbg1102_8ch.wav,1.09247819108988,0,1.51503555620597,0.307080027692436
EL221026,37,main,3,1,bkbg1401,The angry man shouted,angry,man,shouted,NA,1587.645833,bkbg1401_8ch.wav,0.785398163397448,1,1.46890202371649,0
EL221026,38,main,3,1,aslg0315,The lady hurt her arm,lady,hurt,arm,NA,1609.291667,aslg0315_8ch.wav,-0.173985916369102,0,-2.00529296116579,-0.95938407976655
EL221026,39,main,3,1,bkbg0816,The coat lies on a chair,coat,lies,on,chair,1664,bkbg0816_8ch.wav,0.785398163397448,1,1.20065686547425,0
EL221026,40,main,3,1,bkbg0402,The machine was quite noisy,machine,quite,noisy,NA,1738.666667,bkbg0402_8ch.wav,0.785398163397448,1,0.854824348465954,0
EL221026,41,main,3,4,bkbg1316,The lorry climbed the hill,lorry,climbed,hill,NA,1440,bkbg1316_4ch.wav,0.617675522845563,0,1.05312534947109,-0.167722640551885
EL221026,42,main,3,4,aslg0814,The boiled egg was soft,boiled,egg,soft,NA,1685.333333,aslg0814_4ch.wav,0.915890506544513,0,-1.23140997931611,0.130492343147065
EL221026,43,main,3,4,bkbg1207,She’s waiting for her bus,Shes,waiting,bus,NA,1450.666667,bkbg1207_4ch.wav,0.785398163397448,1,1.96425661390719,0
EL221026,44,main,3,4,aslg0909,She's sewing on a button,Shes,sewing,button,NA,1461.333333,aslg0909_4ch.wav,1.07232108639061,0,-2.35808352749148,0.28692292299316
EL221026,45,main,4,3,bkbg1909,He’s reaching for his spoon,Hes,reaching,spoon,NA,1557.333333,bkbg1909_4ch.wav,0.785398163397448,1,2.31534345670344,0
EL221026,46,main,4,3,bkbg1414,The sign showed the way,sign,showed,way,NA,1600,bkbg1414_4ch.wav,0.785398163397448,1,0.953656098087511,0
EL221026,47,main,4,3,bkbg1109,He wore his yellow shirt,He,wore,yellow,shirt,1493.333333,bkbg1109_4ch.wav,1.64084491705426,0,0.344846235472335,0.855446753656817
EL221026,48,main,4,3,bkbg0102,The car engine's running,car,engines,running,NA,1546.666667,bkbg0102_4ch.wav,0.785398163397448,1,-2.37315487166768,0
EL221026,49,main,4,3,aslg1204,The other team are losing,other,team,losing,NA,1962.666667,aslg1204_4ch.wav,-0.0871063178220773,0,2.87093266399199,-0.872504481219526
EL221026,50,main,4,3,aslg1810,The blue towel was damp,blue,towel,damp,NA,1621.333333,aslg1810_4ch.wav,0.785398163397448,1,2.11152772265649,0
EL221026,51,main,4,2,bkbg1716,The dog chased the cat,dog,chased,cat,NA,1418.666667,bkbg1716_8ch.wav,0.679784664089017,0,1.67828253305788,-0.105613499308431
EL221026,52,main,4,2,aslg0503,The doctor carries a bag,doctor,carries,bag,NA,1759.75,aslg0503_8ch.wav,0.785398163397448,1,0.504881184088797,0
EL221026,53,main,4,2,bkbg1513,They walked across the grass,They,walked,across,grass,1653.333333,bkbg1513_8ch.wav,0.785398163397448,1,2.35954946682599,0
EL221026,54,main,4,2,bkbg0409,He found his brother,He,found,brother,NA,1088,bkbg0409_8ch.wav,0.53576453413065,0,-0.116394706928259,-0.249633629266798
EL221026,55,main,4,2,bkbg1510,Flowers grow in the garden,Flowers,grow,garden,NA,1578.666667,bkbg1510_8ch.wav,0.930410409843404,0,-3.09262930751267,0.145012246445955
EL221026,56,main,4,2,bkbg1010,They’re cycling along,Theyre,cycling,along,NA,1237.333333,bkbg1010_8ch.wav,0.785398163397448,1,0.893492736501231,0
EL221026,57,main,4,1,bkbg1711,She’s calling her daughter,Shes,calling,daughter,NA,1344,bkbg1711_8ch.wav,1.67703556711156,0,-2.43006009337684,0.891637403714111
EL221026,58,main,4,1,aslg0604,The rope was too short,rope,too,short,NA,1632,aslg0604_8ch.wav,0.785398163397448,1,-0.389975640363555,0
EL221026,59,main,4,1,bkbg1002,The cleaner used a broom,cleaner,used,broom,NA,1632,bkbg1002_8ch.wav,-0.233629373073645,0,1.81901420538831,-1.01902753647109
EL221026,60,main,4,1,bkbg2005,The teacloth's quite wet,teacloths,quite,wet,NA,1578.666667,bkbg2005_8ch.wav,1.70662181010487,0,-2.66806158406571,0.921223646707423
EL221026,61,main,4,1,bkbg0316,A girl kicked the table,girl,kicked,table,NA,1546.666667,bkbg0316_8ch.wav,0.785398163397448,1,2.96726437020082,0
EL221026,62,main,4,1,bkbg0305,They say some silly things,They,say,silly,things,1802.666667,bkbg0305_8ch.wav,0.785398163397448,1,0.505187436956931,0
EL221026,63,main,4,4,aslg0414,The small puppy was scared,small,puppy,scared,NA,1813.333333,aslg0414_4ch.wav,0.920283399660512,0,1.58526860055472,0.134885236263064
EL221026,64,main,4,4,bkbg0315,The room's getting cold,rooms,getting,cold,NA,1440,bkbg0315_4ch.wav,0.785398163397448,1,-2.31132166518339,0
EL221026,65,main,4,4,aslg0705,They're lifting the box,Theyre,lifting,box,NA,1408,aslg0705_4ch.wav,0.902394270236492,0,-1.6738276959004,0.116996106839043
EL221026,66,main,4,4,bkbg1805,The cheese pie was good,cheese,pie,good,NA,1546.666667,bkbg1805_4ch.wav,0.785398163397448,1,2.3784621867434,0
EL221026,67,main,4,4,aslg0710,The young girls were pretty,young,girls,pretty,NA,1514.666667,aslg0710_4ch.wav,1.04829312546443,0,-1.75219071012014,0.26289496206698
EL221026,68,main,4,4,bkbg0509,The cook cut some onions,cook,cut,onions,NA,1834.666667,bkbg0509_4ch.wav,0.785398163397448,1,0.132748412567737,0
EL221026,69,main,4,2,bkbg0706,Mother fetches a saucepan,Mother,fetches,saucepan,NA,1642.666667,bkbg0706_8ch.wav,0.951225997660925,0,0.716962271079517,0.165827834263476
EL221026,70,main,4,2,bkbg0705,The fruit lies on the ground,fruit,lies,ground,NA,1760,bkbg0705_8ch.wav,0.515705675042436,0,2.06951253586998,-0.269692488355012
EL221026,71,main,4,2,bkbg2007,The baby has blue eyes,baby,blue,eyes,NA,1706.666667,bkbg2007_8ch.wav,0.785398163397448,1,1.11047764161433,0
EL221026,72,main,4,2,bkbg0601,The paint dripped on the ground,paint,dripped,ground,NA,1770.666667,bkbg0601_8ch.wav,0.785398163397448,1,1.7092677475306,0
EL221026,73,main,4,2,bkbg1104,The lady stayed for tea,lady,stayed,tea,NA,1504,bkbg1104_8ch.wav,0.53175836869222,0,-1.37697540996409,-0.253639794705229
EL221026,74,main,4,2,bkbg1308,The mouse found the cheese,mouse,found,cheese,NA,1482.666667,bkbg1308_8ch.wav,0.785398163397448,1,-2.73455211281825,0
EL221026,75,main,4,1,bkbg0913,The dinner plate's hot,dinner,plates,hot,NA,1344,bkbg0913_8ch.wav,-0.198956204834717,0,-3.07787165795588,-0.984354368232165
EL221026,76,main,4,1,bkbg2102,The dog drank from a bowl,dog,drank,bowl,NA,1749.333333,bkbg2102_8ch.wav,1.71871630513488,0,1.52113693471112,0.933318141737435
EL221026,77,main,4,1,bkbg1601,The children wave at the train,children,wave,train,NA,1728,bkbg1601_8ch.wav,0.785398163397448,1,2.0003478791889,0
EL221026,78,main,4,1,bkbg1005,They followed the path,They,followed,path,NA,1226.666667,bkbg1005_8ch.wav,1.78628366205071,0,1.6508998899944,1.00088549865326
EL221026,79,main,4,1,bkbg2011,The girl caught a cold,girl,caught,cold,NA,1418.666667,bkbg2011_8ch.wav,1.81623651487844,0,-2.5300472517026,1.03083835148099
EL221026,80,main,4,1,bkbg0515,The naughty girl’s shouting,naughty,girls,shouting,NA,1578.666667,bkbg0515_8ch.wav,0.785398163397448,1,-1.6759471008944,0
EL221026,81,main,4,4,bkbg1105,The driver waits by the corner,driver,waits,corner,NA,1621.333333,bkbg1105_4ch.wav,0.785398163397448,1,-0.0924009537770149,0
EL221026,82,main,4,4,aslg1806,They're living by the sea,Theyre,living,sea,NA,1674.666667,aslg1806_4ch.wav,0.477393923032746,0,-0.617712681522573,-0.308004240364702
EL221026,83,main,4,4,bkbg0416,The mud stuck on his shoe,mud,stuck,shoe,NA,1706.666667,bkbg0416_4ch.wav,0.785398163397448,1,0.477060372377353,0
EL221026,84,main,4,4,bkbg1011,He broke his leg,He,broke,leg,NA,981.3333333,bkbg1011_4ch.wav,0.785398163397448,1,2.10254534155526,0
EL221026,85,main,4,4,bkbg1012,The milk was by the front door,milk,front,door,NA,1696,bkbg1012_4ch.wav,0.912507979391003,0,-1.8981263093837,0.127109815993554
EL221026,86,main,4,4,bkbg1408,The kitchen window was clean,kitchen,window,clean,NA,1770.666667,bkbg1408_4ch.wav,1.00783215288067,0,0.895547609563887,0.222433989483218
EL221026,87,main,4,3,aslg1611,They ate some plums,They,ate,plums,NA,1333.333333,aslg1611_4ch.wav,0.785398163397448,1,3.02699823262994,0
EL221026,88,main,4,3,aslg1414,They're bringing some pears,Theyre,bringing,pears,NA,1546.666667,aslg1414_4ch.wav,1.82984200767697,0,2.43161348205861,1.04444384427953
