Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,compared to 2000ms?,,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,latency,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
108,main,3,2,bkbf0402,The machine was quite noisy,machine,quite,noisy,,1669.478458,330.521542,,bkbf0402_8ch.wav,0.785398163,1,2.053345052,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0402_8ch.wav,981902.9887,981902.9888,0.2018666,0.2019306,0.165260771,981903.344,0.355260771,-0.0118666,0.85,981904.0387,1.0513307,1.0513538,1.3529842,1.3530463,1.669479167,981905.0135,981905.1887,2.2015122,2.2015754,981906.6887,NaN,NaN,3.7015907,3.7016516,981908.1887,5.2156354,5.2014653,5.2015079,NaN,NaN,NaN,1,1,981905.2775,0.0872517,0,0,981907.049,0.3586913,NaN,NaN,NaN,NaN
109,main,3,3,bkbf1015,The buckets hold water,buckets,hold,water,,1496.961451,503.038549,,bkbf1015_6ch.wav,1.657921067,0,-0.776094817,0.872522904,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1015_6ch.wav,981918.2594,981918.2594,0.2016373,0.2017008,0.251519275,981918.7009,0.441519274,-0.0116373,0.85,981919.3094,1.0517098,1.0517718,1.3530387,1.3530678,1.496958333,981920.1973,981920.4594,2.2015268,2.2015882,981921.9594,NaN,NaN,3.7013561,3.7013787,981923.4594,5.203953,5.2013315,5.2013588,NaN,NaN,NaN,0,0,981920.7822,0.3212342,1,0,981922.2339,0.2731334,NaN,NaN,NaN,NaN
110,main,3,3,bkbf1711,She's calling her daughter,Shes,calling,daughter,,1436.00907,563.99093,,bkbf1711_6ch.wav,0.785398163,1,-2.949093948,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1711_6ch.wav,981923.486,981923.486,0.2020338,0.2020964,0.281995465,981923.958,0.471995465,-0.0120338,0.85,981924.536,1.0516687,1.0517313,1.3531833,1.3532283,1.436,981925.3941,981925.686,2.201538,2.2015983,981927.186,NaN,NaN,3.7016348,3.7016959,981928.686,5.217222,5.2015574,5.2015862,NaN,NaN,NaN,1,1,981925.7617,0.0741398,0,0,981927.6204,0.432723,NaN,NaN,NaN,NaN
111,main,3,3,bkbf0415,The child grabs the toy,child,grabs,toy,,1641.768707,358.231293,,bkbf0415_6ch.wav,0.785398163,1,-0.777359446,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0415_6ch.wav,981928.7144,981928.7144,0.2020048,0.2020621,0.179115647,981929.0835,0.369115646,-0.0120048,0.85,981929.7644,1.0516372,1.0517,1.3529762,1.3529993,1.641770833,981930.7253,981930.9144,2.2015173,2.2015791,981932.4144,NaN,NaN,3.7016061,3.7016677,981933.9144,5.2175493,5.2017044,5.2017816,NaN,NaN,NaN,0,0,981931.1273,0.2114213,1,1,981932.4656,0.0495872,NaN,NaN,NaN,NaN
112,main,3,3,bkbf2112,The cricket team's playing,cricket,teams,playing,,1528.979592,471.020408,,bkbf2112_6ch.wav,1.681114761,0,1.446419631,0.895716597,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf2112_6ch.wav,981933.9431,981933.9432,0.2017584,0.201822,0.235510204,981934.3686,0.425510204,-0.0117584,0.85,981934.9931,1.0516367,1.0516993,1.3529355,1.3529599,1.528979167,981935.8981,981936.1431,2.2017825,2.2018443,981937.6431,NaN,NaN,3.7016191,3.7016878,981939.1431,5.2162277,5.2017726,5.2018416,NaN,NaN,NaN,0,0,981936.3778,0.2328827,1,0,981938.0208,0.3760804,NaN,NaN,NaN,NaN
113,main,3,3,bkbf1405,An old woman was at home,old,woman,home,,1559.727891,440.272109,,bkbf1405_6ch.wav,-0.24726506,0,-0.111893294,-1.032663224,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1405_6ch.wav,981939.1715,981939.1716,0.201753,0.2018167,0.220136055,981939.5817,0.410136054,-0.011753,0.85,981940.2215,1.0513329,1.0513561,1.35263,1.3526512,1.559729167,981941.1414,981941.3715,2.2015606,2.2016241,981942.8715,NaN,NaN,3.7014057,3.7014264,981944.3715,5.215867,5.2015325,5.2015571,NaN,NaN,NaN,0,0,981941.7195,0.3464125,1,0,981943.0776,0.2046403,NaN,NaN,NaN,NaN
114,main,3,3,bkbf0508,The park's near the road,parks,near,road,,1429.206349,570.793651,,bkbf0508_6ch.wav,0.785398163,1,2.033266015,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0508_6ch.wav,981944.3997,981944.3997,0.2017107,0.2017329,0.285396826,981944.8751,0.475396825,-0.0117107,0.85,981945.4497,1.0517033,1.0530469,1.3534102,1.3534721,1.429208333,981946.3045,981946.5997,2.2016019,2.2016691,981948.0997,NaN,NaN,3.7015637,3.7016256,981949.5997,5.217601,5.201745,5.2018269,NaN,NaN,NaN,1,1,981947.1842,0.582886,0,0,981948.4747,0.3734322,NaN,NaN,NaN,NaN
115,main,3,2,bkbf2016,The flower stands in a pot,flower,stands,pot,,1609.52381,390.47619,,bkbf2016_8ch.wav,0.626485947,0,-1.748629131,-0.158912216,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf2016_8ch.wav,981960.2847,981960.2848,0.2021185,0.2021808,0.195238095,981960.67,0.385238095,-0.0121185,0.85,981961.3347,1.0516507,1.0517151,1.3533259,1.353387,1.609520833,981962.2793,981962.4847,2.2015281,2.2015912,981963.9847,NaN,NaN,3.7015559,3.7016167,981965.4847,5.2143991,5.2017752,5.2018376,NaN,NaN,NaN,1,1,981963.1108,0.6245739,0,1,981964.5541,0.5677895,NaN,NaN,NaN,NaN
116,main,3,2,bkbf0706,Mother fetches a saucepan,Mother,fetches,saucepan,,1546.1678,453.8322,,bkbf0706_8ch.wav,0.785398163,1,1.713556953,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0706_8ch.wav,981965.5135,981965.5136,0.2018137,0.2018831,0.2269161,981965.9304,0.4169161,-0.0118137,0.85,981966.5635,1.0516458,1.0517089,1.3533284,1.3533907,1.546166667,981967.4758,981967.7135,2.2014341,2.2014569,981969.2135,NaN,NaN,3.7063241,3.7063597,981970.7135,5.2157597,5.2015415,5.2015678,NaN,NaN,NaN,NaN,0,NaN,9999,0,0,981969.5509,0.3310868,NaN,NaN,NaN,NaN
117,main,3,2,bkbf0401,The wife helped her husband,wife,helped,husband,,1734.920635,265.079365,,bkbf0401_8ch.wav,1.043537468,0,3.061355039,0.258139304,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0401_8ch.wav,981970.7416,981970.7417,0.2020039,0.202066,0.132539683,981971.0642,0.322539683,-0.0120039,0.85,981971.7916,1.0516716,1.0517351,1.3533552,1.3534178,1.734916667,981972.7986,981972.9416,2.2015432,2.2016041,981974.4416,NaN,NaN,3.7015887,3.7016514,981975.9416,5.2175021,5.2017078,5.2017843,NaN,NaN,NaN,0,0,981973.3708,0.427656,1,0,981974.898,0.4547373,NaN,NaN,NaN,NaN
118,main,3,2,bkbf0411,The jam jar was full,jam,jar,full,,1289.705215,710.294785,,bkbf0411_8ch.wav,0.785398163,1,-0.791047122,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0411_8ch.wav,981975.9704,981975.9705,0.2017223,0.2017853,0.355147393,981976.5155,0.545147392,-0.0117223,0.85,981977.0204,1.0516588,1.0517219,1.3533358,1.3533982,1.289708333,981977.8053,981978.1704,2.2015323,2.201594,981979.6704,NaN,NaN,3.7013184,3.7013396,981981.1704,5.2159836,5.2015645,5.2015891,NaN,NaN,NaN,1,1,981978.5414,0.3694645,0,0,981980.2143,0.542631,NaN,NaN,NaN,NaN
119,main,3,2,bkbf1113,The two farmers are talking,two,farmers,talking,,1679.909297,320.090703,,bkbf1113_8ch.wav,1.05047603,0,-0.143410107,0.265077866,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1113_8ch.wav,981981.1984,981981.1985,0.2020916,0.2021551,0.160045352,981981.5485,0.350045351,-0.0120916,0.85,981982.2484,1.051591,1.051615,1.3532542,1.3533159,1.679916667,981983.2287,981983.3984,2.2015082,2.2015691,981984.8984,NaN,NaN,3.7015668,3.7016292,981986.3984,5.2172338,5.2015584,5.2015836,NaN,NaN,NaN,0,0,981983.6262,0.2262288,1,0,981985.2382,0.3381565,NaN,NaN,NaN,NaN
120,main,3,2,bkbf1602,Mother cut the Christmas cake,Mother,cut,Christmas,cake,1538.004535,461.995465,,bkbf1602_8ch.wav,0.992437455,0,0.164254595,0.207039291,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1602_8ch.wav,981986.4269,981986.4269,0.2020605,0.2021229,0.230997733,981986.8479,0.420997732,-0.0120605,0.85,981987.4769,1.0516768,1.0517488,1.3533889,1.3534573,1.538,981988.3856,981988.6269,2.2015051,2.2015687,981990.1269,NaN,NaN,3.7012326,3.7012659,981991.6269,5.2177067,5.2016821,5.2017589,NaN,NaN,NaN,0,0,981988.8745,0.2460579,1,0,981990.2463,0.1181327,NaN,NaN,NaN,NaN
121,main,4,4,bkbf0713,The girl has a picture book,girl,picture,book,,1435.011338,564.988662,,bkbf0713_6ch.wav,0.785398163,1,2.676181821,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0713_6ch.wav,982219.7432,982219.7432,0.2016417,0.2017033,0.282494331,982220.2157,0.472494331,-0.0116417,0.85,982220.7932,1.0517193,1.0517807,1.3534805,1.3535471,1.435020833,982221.6508,982221.9432,2.2015507,2.2016109,982223.4432,NaN,NaN,3.7014831,3.701506,982224.9432,5.2085504,5.2020556,5.2020773,NaN,NaN,NaN,0,0,982222.6871,0.742328,NaN,0,NaN,9999,NaN,NaN,NaN,NaN
122,main,4,4,bkbf1613,The oven door was open,oven,door,open,,1386.485261,613.514739,,bkbf1613_6ch.wav,0.785398163,1,1.195389319,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1613_6ch.wav,982224.9697,982224.9697,0.202054,0.2021118,0.30675737,982225.4664,0.496757369,-0.012054,0.85,982226.0197,1.0516456,1.0517077,1.352934,1.3529682,1.386479167,982226.8526,982227.1697,2.2016041,2.2016737,982228.6697,NaN,NaN,3.7012212,3.7012477,982230.1697,5.21765,5.2016971,5.201758,NaN,NaN,NaN,1,1,982227.4933,0.3220129,0,0,982228.9631,0.2922405,NaN,NaN,NaN,NaN
123,main,4,4,bkbf0306,The lady wore a coat,lady,wore,coat,,1375.37415,624.62585,,bkbf0306_6ch.wav,0.901351294,0,-0.790420781,0.11595313,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0306_6ch.wav,982230.1985,982230.1986,0.2017961,0.2018735,0.312312925,982230.7008,0.502312925,-0.0117961,0.85,982231.2485,1.0518254,1.0518944,1.3535126,1.3535728,1.375375,982232.0761,982232.3985,2.2011731,2.2011956,982233.8985,NaN,NaN,3.7016143,3.7016765,982235.3985,5.2164534,5.2016926,5.20177,NaN,NaN,NaN,0,0,982232.8399,0.4402567,1,0,982234.1588,0.25868,NaN,NaN,NaN,NaN
124,main,4,4,bkbf1915,The cup stood on a saucer,cup,stood,saucer,,1598.548753,401.451247,,bkbf1915_6ch.wav,0.785398163,1,-0.854093123,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1915_6ch.wav,982235.4268,982235.4269,0.2018456,0.2019085,0.200725624,982235.8175,0.390725623,-0.0118456,0.85,982236.4768,1.0516499,1.0517118,1.3533587,1.3534203,1.598541667,982237.4161,982237.6268,2.2015204,2.201583,982239.1268,NaN,NaN,3.7015885,3.7016568,982240.6268,5.215786,5.2015181,5.2015449,NaN,NaN,NaN,0,0,982237.8669,0.2385888,1,1,982239.4675,0.3391311,NaN,NaN,NaN,NaN
125,main,4,4,bkbf0914,The train's moving fast,trains,moving,fast,,1654.557823,345.442177,,bkbf0914_6ch.wav,1.070552975,0,1.580216597,0.285154811,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0914_6ch.wav,982240.655,982240.655,0.2020857,0.2021478,0.172721089,982241.0177,0.362721088,-0.0120857,0.85,982241.705,1.0516433,1.0517053,1.35331,1.3533706,1.6545625,982242.6723,982242.855,2.2015189,2.2016116,982244.355,NaN,NaN,3.7015171,3.701579,982245.855,5.2178439,5.2013273,5.2013546,NaN,NaN,NaN,1,1,982243.7656,0.909058,0,1,982244.7716,0.4150824,NaN,NaN,NaN,NaN
126,main,4,4,bkbf0311,They ate the lemon jelly,They,ate,lemon,jelly,1361.405896,638.594104,,bkbf0311_6ch.wav,0.785398163,1,-2.961195327,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0311_6ch.wav,982245.8835,982245.8835,0.2020023,0.2020642,0.319297052,982246.3928,0.509297052,-0.0120023,0.85,982246.9335,1.0516193,1.0516828,1.3533666,1.3534349,1.361395833,982247.7548,982248.0835,2.2014493,2.2014756,982249.5835,NaN,NaN,3.7015866,3.7016555,982251.0835,5.2172635,5.2015864,5.2016103,NaN,NaN,NaN,0,0,982248.5097,0.4247751,1,1,982250.5408,0.955703,NaN,NaN,NaN,NaN
127,main,4,1,bkbf1914,The girl held a mirror,girl,held,mirror,,1359.773243,640.226757,,bkbf1914_8ch.wav,1.662503604,0,1.421439405,0.877105441,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1914_8ch.wav,982263.4837,982263.4838,0.2019682,0.20203,0.320113379,982263.9938,0.510113378,-0.0119682,0.85,982264.5337,1.0516504,1.051713,1.353088,1.3531111,1.359770833,982265.3536,982265.6837,2.2011384,2.2011722,982267.1837,NaN,NaN,3.7011147,3.7011526,982268.6837,5.2134663,5.2011811,5.201214,NaN,NaN,NaN,1,1,982267.036,1.3511571,0,1,982268.0724,0.8875694,NaN,NaN,NaN,NaN
128,main,4,1,bkbf1405,An old woman was at home,old,woman,home,,1559.727891,440.272109,,bkbf1405_8ch.wav,-0.19001128,0,2.888929714,-0.975409444,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1405_8ch.wav,982268.7119,982268.7119,0.2017129,0.2017383,0.220136055,982269.122,0.410136054,-0.0117129,0.85,982269.7619,1.0517274,1.0517964,1.3534681,1.3536027,1.559729167,982270.682,982270.9119,2.2014999,2.2015626,982272.4119,NaN,NaN,3.7064371,3.7064727,982273.9119,5.2174268,5.2016167,5.2016797,NaN,NaN,NaN,NaN,0,NaN,9999,0,1,982272.7218,0.3034324,NaN,NaN,NaN,NaN
129,main,4,1,bkbf0916,The car hit a wall,car,hit,wall,,1230.068027,769.931973,,bkbf0916_8ch.wav,0.785398163,1,-2.568188445,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0916_8ch.wav,982273.9406,982273.9407,0.2018739,0.2019364,0.384965987,982274.5156,0.574965986,-0.0118739,0.85,982274.9906,1.0512976,1.0513206,1.3525904,1.3526119,1.2300625,982275.7456,982276.1406,2.2015415,2.2016024,982277.6406,NaN,NaN,3.7014732,3.7015287,982279.1406,5.2160926,5.2015326,5.2015576,NaN,NaN,NaN,0,0,982277.4504,1.3081891,1,1,982278.3518,0.7096483,NaN,NaN,NaN,NaN
130,main,4,1,bkbf0501,The bath towel was wet,bath,towel,wet,,1592.471655,407.528345,,bkbf0501_8ch.wav,0.785398163,1,-0.572288137,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0501_8ch.wav,982279.1689,982279.1689,0.2020647,0.2021274,0.203764173,982279.5626,0.393764172,-0.0120647,0.85,982280.2189,1.0516429,1.0517063,1.3533049,1.3533657,1.592479167,982281.1556,982281.3689,2.2015229,2.2015852,982282.8689,NaN,NaN,3.7083333,3.7083733,982284.3689,5.2188336,5.2031018,5.2031634,NaN,NaN,NaN,NaN,0,NaN,9999,1,1,982283.0552,0.1779888,NaN,NaN,NaN,NaN
131,main,4,1,bkbf0401,The wife helped her husband,wife,helped,husband,,1734.920635,265.079365,,bkbf0401_8ch.wav,1.679668696,0,-1.51575494,0.894270532,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0401_8ch.wav,982284.3976,982284.3976,0.2019995,0.2020649,0.132539683,982284.7201,0.322539683,-0.0119995,0.85,982285.4476,1.0515194,1.0515421,1.3528248,1.3528582,1.734916667,982286.455,982286.5976,2.201529,2.2015911,982288.0976,NaN,NaN,3.7011991,3.7012245,982289.5976,5.2158235,5.2015741,5.201599,NaN,NaN,NaN,1,1,982288.0252,1.4260905,0,1,982288.8408,0.7420331,NaN,NaN,NaN,NaN
132,main,4,1,bkbf0516,The cold milk's in a jug,cold,milks,jug,,1508.93424,491.06576,,bkbf0516_8ch.wav,0.785398163,1,2.006304231,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0516_8ch.wav,982289.6258,982289.6258,0.2020151,0.2020776,0.24553288,982290.0613,0.43553288,-0.0120151,0.85,982290.6758,1.0516439,1.0517071,1.3529504,1.3529729,1.5089375,982291.5699,982291.8258,2.2012617,2.2012857,982293.3258,NaN,NaN,3.701618,3.7016858,982294.8258,5.217681,5.201699,5.2017661,NaN,NaN,NaN,1,1,982292.5483,0.7212782,0,0,982293.7639,0.43648,NaN,NaN,NaN,NaN
133,main,4,2,bkbf1010,They're cycling along,Theyre,cycling,along,,1326.213152,673.786848,,bkbf1010_8ch.wav,0.785398163,1,-0.564835636,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1010_8ch.wav,982305.6105,982305.6105,0.2021927,0.2022154,0.336893424,982306.1374,0.526893424,-0.0121927,0.85,982306.6605,1.0517169,1.0517863,1.3534242,1.3534942,1.326208333,982307.464,982307.8105,2.2011208,2.2011526,982309.3105,NaN,NaN,3.7015592,3.7016211,982310.8105,5.2041688,5.2017138,5.201776,NaN,NaN,NaN,0,0,982308.8051,0.9935075,0,0,982309.8747,0.5626162,NaN,NaN,NaN,NaN
134,main,4,2,bkbf1012,The milk was by the front door,milk,front,door,,1683.038549,316.961451,,bkbf1012_8ch.wav,0.612774275,0,-2.798596603,-0.172623888,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1012_8ch.wav,982310.8395,982310.8396,0.2017762,0.2018383,0.158480726,982311.1879,0.348480725,-0.0117762,0.85,982311.8895,1.0513794,1.0514217,1.3530467,1.3531079,1.683041667,982312.871,982313.0395,2.2014827,2.2015721,982314.5395,NaN,NaN,3.7015551,3.7016168,982316.0395,5.2158582,5.2015394,5.2015643,NaN,NaN,NaN,0,0,982313.9945,0.9536031,0,1,982315.7171,1.1760543,NaN,NaN,NaN,NaN
135,main,4,2,bkbf2009,Mother made some curtains,Mother,made,curtains,,1521.269841,478.730159,,bkbf2009_8ch.wav,0.785398163,1,0.940621849,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf2009_8ch.wav,982316.0676,982316.0676,0.2021103,0.2021742,0.23936508,982316.497,0.42936508,-0.0121103,0.85,982317.1176,1.0512658,1.0512905,1.3525724,1.3525943,1.521270833,982318.0182,982318.2676,2.2014757,2.2015382,982319.7676,NaN,NaN,3.7131577,3.71319,982321.2676,5.2172925,5.2015224,5.2015505,NaN,NaN,NaN,0,0,982319.7566,1.4874656,0,0,982319.7812,0.0004088,NaN,NaN,NaN,NaN
136,main,4,2,bkbf0907,The five men are working,five,men,working,,1601.269841,398.730159,,bkbf0907_8ch.wav,0.998771128,0,0.040502271,0.213372965,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0907_8ch.wav,982321.2961,982321.2961,0.2020069,0.2020692,0.19936508,982321.6854,0.389365079,-0.0120069,0.85,982322.3461,1.0513636,1.051387,1.3530818,1.3532933,1.601270833,982323.2871,982323.4961,2.2015211,2.2015828,982324.9961,NaN,NaN,3.7015022,3.7015229,982326.4961,5.2173395,5.2015563,5.2015807,NaN,NaN,NaN,0,0,982323.8262,0.3286122,1,0,982325.4407,0.4431202,NaN,NaN,NaN,NaN
137,main,4,2,bkbf0616,The woman tidied her house,woman,tidied,house,,1741.451247,258.548753,,bkbf0616_8ch.wav,1.068965889,0,2.672751796,0.283567726,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0616_8ch.wav,982326.5244,982326.5245,0.2021184,0.20218,0.129274377,982326.8437,0.319274376,-0.0121184,0.85,982327.5744,1.0517178,1.0517865,1.3530526,1.3530747,1.741458333,982328.5842,982328.7244,2.2015328,2.2015951,982330.2244,NaN,NaN,3.7015139,3.7015742,982331.7244,5.2174857,5.2018026,5.2018716,NaN,NaN,NaN,1,1,982329.622,0.8960826,0,1,982331.0378,0.8119061,NaN,NaN,NaN,NaN
138,main,4,2,bkbf1108,The little girl was happy,little,girl,happy,,1374.965986,625.034014,,bkbf1108_8ch.wav,0.785398163,1,0.221861748,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1108_8ch.wav,982331.7529,982331.7529,0.2021279,0.2021972,0.312517007,982332.2554,0.502517007,-0.0121279,0.85,982332.8029,1.0517172,1.051786,1.3532642,1.3532926,1.374958333,982333.629,982333.9529,2.2015527,2.2016139,982335.4529,NaN,NaN,3.7015451,3.7016066,982336.9529,5.2159179,5.2017623,5.2018489,NaN,NaN,NaN,0,0,982334.6524,0.6979267,1,1,982336.0861,0.6316127,NaN,NaN,NaN,NaN
139,main,4,3,bkbf1115,A fish lay on the plate,fish,lay,plate,,1492.244898,507.755102,,bkbf1115_6ch.wav,0.785398163,1,-0.018460718,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1115_6ch.wav,982347.8212,982347.8213,0.2019687,0.2020314,0.253877551,982348.2651,0.443877551,-0.0119687,0.85,982348.8712,1.0516047,1.0516692,1.3532629,1.3533244,1.49225,982349.7579,982350.0212,2.2015864,2.2016474,982351.5212,NaN,NaN,3.7015953,3.7016637,982353.0212,5.2122164,5.2017045,5.2017801,NaN,NaN,NaN,0,0,982351.0482,1.0253488,0,0,982351.9268,0.4039395,NaN,NaN,NaN,NaN
140,main,4,3,bkbf0512,Somebody took the money,Somebody,took,money,,1367.664399,632.335601,,bkbf0512_6ch.wav,1.662158828,0,-0.905753136,0.876760665,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0512_6ch.wav,982353.0498,982353.0499,0.2016825,0.2017044,0.316167801,982353.556,0.5061678,-0.0116825,0.85,982354.0998,1.051659,1.0517211,1.3533384,1.3533995,1.367666667,982354.9237,982355.2498,2.2011697,2.2011922,982356.7498,NaN,NaN,3.7128774,3.7129085,982358.2498,5.2161309,5.2017205,5.2017971,NaN,NaN,NaN,0,0,982356.7427,1.4916555,0,1,982356.7631,0.0004059,NaN,NaN,NaN,NaN
141,main,4,3,bkbf1713,The milkman carried the cream,milkman,carried,cream,,1759.455782,240.544218,,bkbf1713_6ch.wav,-0.14823225,0,2.424871094,-0.933630413,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v1_220405_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1713_6ch.wav,982358.2783,982358.2784,0.2018005,0.2018625,0.120272109,982358.5885,0.310272109,-0.0118005,0.85,982359.3283,1.0516501,1.0517129,1.3533083,1.3533694,1.759458333,982360.3524,982360.4783,2.2014748,2.2015314,982361.9783,NaN,NaN,3.7011894,3.7012112,982363.4783,5.2158579,5.201521,5.2015452,NaN,NaN,NaN,0,0,982360.8948,0.415079,1,0,982362.3839,0.4044591,NaN,NaN,NaN,NaN
