Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,compared to 2000ms?,,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,latency,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
11,pretrain,1,3,bkbf0507,She used her spoon,She,used,spoon,,1407.573696,592.426304,,bkbf0507_6ch.wav,0.785398163,1,-3.134356435,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0507_6ch.wav,1343248.298,1343248.298,0.2021422,0.2022056,0.296213152,1343248.772,0.474213152,-0.0241422,0.85,1343249.348,1.0518194,1.0519438,1.3531399,1.3531613,1.407583333,1343250.18,1343250.498,2.2030451,2.2031127,1343251.998,NaN,NaN,3.7016268,3.7017059,1343253.498,5.2176376,5.2017482,5.2018178,NaN,NaN,NaN,0,0,1343251.32,0.8196147,1,1,1343252.263,0.2638971,NaN,NaN,NaN,NaN
12,pretrain,1,3,bkbf1510,Flowers grow in the garden,Flowers,grow,garden,,1543.310658,456.689342,,bkbf1510_6ch.wav,0.785398163,1,-1.101699268,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1510_6ch.wav,1343253.526,1343253.526,0.2021337,0.202195,0.228344671,1343253.933,0.406344671,-0.0241337,0.85,1343254.576,1.0513058,1.0513313,1.3527669,1.3527883,1.5433125,1343255.475,1343255.726,2.2013202,2.201345,1343257.226,NaN,NaN,3.7012277,3.70125,1343258.726,5.2158347,5.2017401,5.2018214,NaN,NaN,NaN,1,1,1343256.58,0.852776,1,1,1343257.48,0.252937,NaN,NaN,NaN,NaN
13,pretrain,1,4,bkbf0501,The bath towel was wet,bath,towel,wet,,1592.471655,407.528345,,bkbf0501_6ch.wav,1.056515682,0,2.585147404,0.271117518,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0501_6ch.wav,1343258.755,1343258.755,0.2017921,0.2018536,0.203764173,1343259.137,0.381764172,-0.0237921,0.85,1343259.805,1.0517317,1.0518002,1.3530466,1.3530681,1.592479167,1343260.729,1343260.955,2.2016112,2.2016715,1343262.455,NaN,NaN,3.7078568,3.7078927,1343263.955,5.2162157,5.2017419,5.2018093,NaN,NaN,NaN,NaN,0,NaN,9999,0,1,1343263.19,0.7272221,NaN,NaN,NaN,NaN
14,pretrain,1,4,bkbf0606,The lady goes to the shop,lady,goes,to,shop,1737.278912,262.721088,,bkbf0606_6ch.wav,0.651879841,0,-0.937563183,-0.133518323,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0606_6ch.wav,1343263.983,1343263.983,0.2018792,0.2019468,0.131360544,1343264.293,0.309360544,-0.0238792,0.85,1343265.033,1.0516361,1.0516634,1.3529403,1.3529734,1.737270833,1343266.03,1343266.183,2.2015844,2.2016477,1343267.683,NaN,NaN,3.7015425,3.7016024,1343269.183,5.2160374,5.2018197,5.201901,NaN,NaN,NaN,1,1,1343266.414,0.2286701,0,1,1343268.153,0.467803,NaN,NaN,NaN,NaN
15,pretrain,1,4,bkbf2005,The teacloth's quite wet,teacloths,quite,wet,,1656.00907,343.99093,,bkbf2005_6ch.wav,0.785398163,1,2.406093914,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf2005_6ch.wav,1343269.212,1343269.212,0.202117,0.2021784,0.171995465,1343269.562,0.349995465,-0.024117,0.85,1343270.262,1.0516851,1.0517533,1.3529736,1.3529984,1.656,1343271.218,1343271.412,2.2015993,2.2016631,1343272.912,NaN,NaN,3.7013523,3.7013893,1343274.412,5.2158933,5.2017433,5.2018105,NaN,NaN,NaN,0,0,1343271.981,0.568166,1,1,1343273.194,0.2815342,NaN,NaN,NaN,NaN
16,pretrain,1,4,bkbf0708,The young people are dancing,young,people,dancing,,1642.086168,357.913832,,bkbf0708_6ch.wav,0.785398163,1,-0.162341149,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0708_6ch.wav,1343274.44,1343274.44,0.2018117,0.2018741,0.178956916,1343274.797,0.356956916,-0.0238117,0.85,1343275.49,1.0516859,1.051755,1.3534347,1.3535006,1.642083333,1343276.439,1343276.64,2.2015371,2.2015973,1343278.14,NaN,NaN,3.7015647,3.7016258,1343279.64,5.216138,5.2016813,5.201742,NaN,NaN,NaN,1,1,1343276.999,0.3576302,0,0,1343278.498,0.3564317,NaN,NaN,NaN,NaN
17,pretrain,1,4,bkbf0307,The children are walking home,children,walking,home,,1601.85941,398.14059,,bkbf0307_6ch.wav,0.609103901,0,-1.776866375,-0.176294262,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0307_6ch.wav,1343279.669,1343279.669,0.2018054,0.2018665,0.199070295,1343280.046,0.377070295,-0.0238054,0.85,1343280.719,1.0517662,1.0518364,1.3535262,1.3535975,1.601854167,1343281.648,1343281.869,2.2017277,2.2017934,1343283.369,NaN,NaN,3.7015704,3.7016381,1343284.869,5.215726,5.2013644,5.2013882,NaN,NaN,NaN,0,0,1343282.027,0.1566458,1,0,1343283.635,0.2647433,NaN,NaN,NaN,NaN
18,pretrain,1,4,bkbf0613,They took some food,They,took,food,,1254.104308,745.895692,,bkbf0613_6ch.wav,0.785398163,1,-0.950198072,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0613_6ch.wav,1343284.897,1343284.897,0.2020712,0.2021288,0.372947846,1343285.448,0.550947846,-0.0240712,0.85,1343285.947,1.0511909,1.0512217,1.3531108,1.3531815,1.254104167,1343286.702,1343287.097,2.2011989,2.2012202,1343288.597,NaN,NaN,3.7013298,3.7013668,1343290.097,5.2172616,5.2015969,5.2016224,NaN,NaN,NaN,1,1,1343287.39,0.2919448,0,0,1343288.837,0.2393335,NaN,NaN,NaN,NaN
19,pretrain,1,1,bkbf0107,The green tomatoes are small,green,tomatoes,small,,1861.451247,138.548753,,bkbf0107_8ch.wav,1.789800593,0,1.44028762,1.004402429,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0107_8ch.wav,1343290.125,1343290.125,0.202116,0.202179,0.069274377,1343290.372,0.2659415,-0.005448877,0.85,1343291.175,1.051688,1.0517518,1.3532623,1.3533188,1.861458333,1343292.257,1343292.325,2.2012151,2.2012409,1343293.825,NaN,NaN,3.7011138,3.7011458,1343295.325,5.2175557,5.201744,5.2018125,NaN,NaN,NaN,0,0,1343292.566,0.2398197,1,0,1343294.106,0.2791924,NaN,NaN,NaN,NaN
20,pretrain,1,1,bkbf1110,They're coming for Christmas,Theyre,coming,Christmas,,1477.641723,522.358277,,bkbf1110_8ch.wav,0.785398163,1,0.878002613,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1110_8ch.wav,1343295.354,1343295.354,0.2020921,0.2021552,0.261179139,1343295.793,0.439179138,-0.0240921,0.85,1343296.404,1.0517838,1.0518508,1.3536058,1.3536816,1.477645833,1343297.271,1343297.554,2.2014052,2.2014382,1343299.054,NaN,NaN,3.7017168,3.7018188,1343300.554,5.2157113,5.2017246,5.2018081,NaN,NaN,NaN,1,1,1343297.868,0.3125685,0,0,1343299.342,0.286967,NaN,NaN,NaN,NaN
