list,sentence_n,sentence,grammar,first_word,keyword_n,keyword_1,keyword_2,keyword_3,keyword_4,filename,audio_dur
5,8,The park’s near the road,svoc,determiner,3,parks,near,road,NA,bkbg0508,1504
5,9,The cook cut some onions,svoc,determiner,3,cook,cut,onions,NA,bkbg0509,1834.666667
5,10,The dog made an angry noise,svoc,determiner,4,dog,made,angry,noise,bkbg0510,1971.229167
5,11,He’s washing his face,svoc,pronoun,3,Hes,washing,face,NA,bkbg0511,1696
5,12,Somebody took the money,svoc,pronoun,3,Somebody,took,money,NA,bkbg0512,1429.333333
5,13,The light went out,sva,determiner,3,light,went,out,NA,bkbg0513,1546.666667
5,14,They wanted some potatoes,svoc,pronoun,3,They,wanted,potatoes,NA,bkbg0514,1621.333333
5,15,The naughty girl’s shouting,sv,determiner,3,naughty,girls,shouting,NA,bkbg0515,1578.666667
5,16,The cold milk's in a jug,svoc,determiner,3,cold,milks,jug,NA,bkbg0516,1610.666667
6,1,The paint dripped on the ground,svoc,determiner,3,paint,dripped,ground,NA,bkbg0601,1770.666667
6,2,The mother stirs the tea,svoc,determiner,3,mother,stirs,tea,NA,bkbg0602,1546.666667
6,3,They laughed at his story,svoc,pronoun,3,They,laughed,story,NA,bkbg0603,1450.666667
6,4,Men wear long trousers,svoc,noun,4,Men,wear,long,trousers,bkbg0604,1642.666667
6,5,The small boy was asleep,sv,determiner,3,small,boy,asleep,NA,bkbg0605,1760
6,6,The lady goes to the shop,svoc,determiner,4,lady,goes,to,shop,bkbg0606,1514.666667
6,7,The sun melted the snow,svoc,determiner,3,sun,melted,snow,NA,bkbg0607,1738.666667
6,8,The father's coming home,svoc,determiner,3,fathers,coming,home,NA,bkbg0608,1578.666667
6,9,She had her pocket money,svoc,pronoun,3,She,pocket,money,NA,bkbg0609,1418.666667
6,10,The lorry drove up the road,svoc,determiner,3,lorry,drove,road,NA,bkbg0610,1642.666667
6,11,He’s bringing his raincoat,svoc,pronoun,3,Hes,bringing,raincoat,NA,bkbg0611,1525.333333
6,12,A sharp knife's dangerous,sv,determiner,3,sharp,knifes,dangerous,NA,bkbg0612,1834.666667
6,13,They took some food,svoc,pronoun,3,They,took,food,NA,bkbg0613,1194.666667
6,14,The clever girls are reading,sv,determiner,3,clever,girls,reading,NA,bkbg0614,1557.333333
6,15,The broom stood in the corner,svoc,determiner,3,broom,stood,corner,NA,bkbg0615,1610.666667
6,16,The woman tidied her house,svoc,determiner,3,woman,tidied,house,NA,bkbg0616,1845.333333
7,1,The children dropped the bag,svoc,determiner,3,children,dropped,bag,NA,bkbg0701,1728
7,2,The dog came back,sva,determiner,3,dog,came,back,NA,bkbg0702,1376
7,3,The floor looked clean,sva,determiner,3,floor,looked,clean,NA,bkbg0703,1600
7,4,She found her purse,svoc,pronoun,3,She,found,purse,NA,bkbg0704,1568
7,5,The fruit lies on the ground,svoc,determiner,3,fruit,lies,ground,NA,bkbg0705,1760
7,6,Mother fetches a saucepan,svoc,noun,3,Mother,fetches,saucepan,NA,bkbg0706,1642.666667
7,7,They washed in cold water,svoc,pronoun,4,They,washed,cold,water,bkbg0707,1557.333333
7,8,The young people are dancing,sv,determiner,3,young,people,dancing,NA,bkbg0708,1621.333333
7,9,The bus went early,sva,determiner,3,bus,went,early,NA,bkbg0709,1354.666667
7,10,They had two empty bottles,svoc,pronoun,4,They,two,empty,bottles,bkbg0710,1824
7,11,A ball's bouncing along,sva,determiner,3,balls,bouncing,along,NA,bkbg0711,1738.666667
7,12,The father forgot the bread,svoc,determiner,3,father,forgot,bread,NA,bkbg0712,1610.666667
7,13,The girl has a picture book,svoc,determiner,3,girl,picture,book,NA,bkbg0713,1578.666667
7,14,The orange was quite sweet,sv,determiner,3,orange,quite,sweet,NA,bkbg0714,1824
7,15,He’s holding his nose,svoc,pronoun,3,Hes,holding,nose,NA,bkbg0715,1429.333333
7,16,The new road’s on the map,svoc,determiner,3,new,roads,map,NA,bkbg0716,1568
8,1,The boy forgot his book,svoc,determiner,3,boy,forgot,book,NA,bkbg0801,1568
8,2,A friend came for lunch,svoc,determiner,3,friend,came,lunch,NA,bkbg0802,1621.333333
8,3,The match boxes are empty,sv,determiner,3,match,boxes,empty,NA,bkbg0803,1504
8,4,He climbed his ladder,svoc,pronoun,3,He,climbed,ladder,NA,bkbg0804,1120
8,5,The family bought a house,svoc,determiner,3,family,bought,house,NA,bkbg0805,1664
8,6,The jug stood on the shelf,svoc,determiner,3,jug,stood,shelf,NA,bkbg0806,1717.333333
8,7,The ball broke the window,svoc,determiner,3,ball,broke,window,NA,bkbg0807,1706.666667
8,8,They’re shopping for cheese,svoc,pronoun,3,Theyre,shopping,cheese,NA,bkbg0808,1472
8,9,The pond water's dirty,sv,determiner,3,pond,waters,dirty,NA,bkbg0809,1557.333333
8,10,They heard a funny noise,svoc,pronoun,4,They,heard,funny,noise,bkbg0810,1557.333333
8,11,Police are clearing the road,svoc,noun,3,Police,clearing,road,NA,bkbg0811,1664
8,12,The bus stopped suddenly,sva,determiner,3,bus,stopped,suddenly,NA,bkbg0812,1578.666667
8,13,She writes to her brother,svoc,pronoun,3,She,writes,brother,NA,bkbg0813,1450.666667
8,14,The footballer lost a boot,svoc,determiner,3,footballer,lost,boot,NA,bkbg0814,1728
8,15,The three girls are listening,sv,determiner,3,three,girls,listening,NA,bkbg0815,1696
8,16,The coat lies on a chair,svoc,determiner,4,coat,lies,on,chair,bkbg0816,1664
9,1,The book tells a story,svoc,determiner,3,book,tells,story,NA,bkbg0901,1525.333333
9,2,The young boy left home,svoc,determiner,4,young,boy,left,home,bkbg0902,1546.666667
9,3,They’re climbing the tree,svoc,pronoun,3,Theyre,climbing,tree,NA,bkbg0903,1354.666667
9,4,She stood near her window,svoc,pronoun,3,She,stood,window,NA,bkbg0904,1653.333333
9,5,The table has three legs,svoc,determiner,3,table,three,legs,NA,bkbg0905,1760
9,6,A letter fell on the mat,svoc,determiner,3,letter,fell,mat,NA,bkbg0906,1685.333333
9,7,The five men are working,sv,determiner,3,five,men,working,NA,bkbg0907,1493.333333
9,8,He listens to his father,svoc,pronoun,4,He,listens,to,father,bkbg0908,1557.333333
9,9,The shoes were very dirty,sv,determiner,3,shoes,very,dirty,NA,bkbg0909,1802.666667
9,10,They went on holiday,svoc,pronoun,3,They,went,holiday,NA,bkbg0910,1269.333333
9,11,Baby broke his mug,svoc,noun,3,Baby,broke,mug,NA,bkbg0911,1397.333333
9,12,The lady packed her bag,svoc,determiner,3,lady,packed,bag,NA,bkbg0912,1546.666667
9,13,The dinner plate's hot,sv,determiner,3,dinner,plates,hot,NA,bkbg0913,1344
9,14,The train’s moving fast,sva,determiner,3,trains,moving,fast,NA,bkbg0914,1717.333333
9,15,The child drank some milk,svoc,determiner,3,child,drank,milk,NA,bkbg0915,1642.666667
9,16,The car hit a wall,svoc,determiner,3,car,hit,wall,NA,bkbg0916,1365.333333
10,1,A tea towel’s by the sink,svoc,determiner,3,tea,towels,sink,NA,bkbg1001,1568
10,2,The cleaner used a broom,svoc,determiner,3,cleaner,used,broom,NA,bkbg1002,1632
10,3,She looked in her mirror,svoc,pronoun,4,She,looked,in,mirror,bkbg1003,1194.666667
10,4,The good boy's helping,sv,determiner,3,good,boys,helping,NA,bkbg1004,1322.666667
10,5,They followed the path,svoc,pronoun,3,They,followed,path,NA,bkbg1005,1226.666667
10,6,The kitchen clock was wrong,sv,determiner,3,kitchen,clock,wrong,NA,bkbg1006,1610.666667
10,7,The dog jumped on the chair,svoc,determiner,4,dog,jumped,on,chair,bkbg1007,1568
10,8,Someone’s crossing the road,svoc,pronoun,3,Someones,crossing,road,NA,bkbg1008,1600
10,9,The postman brings a letter,svoc,determiner,3,postman,brings,letter,NA,bkbg1009,1482.666667
10,10,They’re cycling along,sva,pronoun,3,Theyre,cycling,along,NA,bkbg1010,1237.333333
10,11,He broke his leg,svoc,pronoun,3,He,broke,leg,NA,bkbg1011,981.3333333
10,12,The milk was by the front door,svoc,determiner,3,milk,front,door,NA,bkbg1012,1696
10,13,The shirts hang in the cupboard,svoc,determiner,3,shirts,hang,cupboard,NA,bkbg1013,1568
10,14,The ground was too hard,sv,determiner,3,ground,too,hard,NA,bkbg1014,1418.666667
10,15,The buckets hold water,svoc,determiner,3,buckets,hold,water,NA,bkbg1015,1482.666667
10,16,The chicken laid some eggs,svoc,determiner,3,chicken,laid,eggs,NA,bkbg1016,1621.333333
11,1,The sweet shop was empty,sv,determiner,3,sweet,shop,empty,NA,bkbg1101,1418.666667
11,2,The dogs go for a walk,svoc,determiner,3,dogs,go,walk,NA,bkbg1102,1557.333333
11,3,She’s washing her dress,svoc,pronoun,3,Shes,washing,dress,NA,bkbg1103,1376
11,4,The lady stayed for tea,svoc,determiner,3,lady,stayed,tea,NA,bkbg1104,1504
11,5,The driver waits by the corner,svoc,determiner,3,driver,waits,corner,NA,bkbg1105,1621.333333
11,6,They finished the dinner,svoc,pronoun,3,They,finished,dinner,NA,bkbg1106,1098.666667
11,7,The policeman knows the way,svoc,determiner,3,policeman,knows,way,NA,bkbg1107,1568
11,8,The little girl was happy,sv,determiner,3,little,girl,happy,NA,bkbg1108,1386.666667
11,9,He wore his yellow shirt,svoc,pronoun,4,He,wore,yellow,shirt,bkbg1109,1493.333333
11,10,They’re coming for Christmas,svoc,pronoun,3,Theyre,coming,Christmas,NA,bkbg1110,1312
11,11,The cow gave some milk,svoc,determiner,3,cow,gave,milk,NA,bkbg1111,1418.666667
11,12,The boy got into bed,svoc,determiner,4,boy,got,into,bed,bkbg1112,1322.666667
11,13,The two farmers are talking,sv,determiner,3,two,farmers,talking,NA,bkbg1113,1546.666667
11,14,Mother picked some flowers,svoc,noun,3,Mother,picked,flowers,NA,bkbg1114,1493.333333
11,15,A fish lay on the plate,svoc,determiner,3,fish,lay,plate,NA,bkbg1115,1621.333333
11,16,The father writes a letter,svoc,determiner,3,father,writes,letter,NA,bkbg1116,1418.666667
12,1,The food cost a lot,svoc,determiner,3,food,cost,lot,NA,bkbg1201,1440
12,2,The girl's washing her hair,svoc,determiner,3,girls,washing,hair,NA,bkbg1202,1600
12,3,The front garden was pretty,sv,determiner,3,front,garden,pretty,NA,bkbg1203,1514.666667
12,4,He lost his hat,svoc,pronoun,3,He,lost,hat,NA,bkbg1204,1013.333333
12,5,The taps are above the sink,svoc,determiner,3,taps,above,sink,NA,bkbg1205,1760
12,6,Father paid at the gate,svoc,noun,4,Father,paid,at,gate,bkbg1206,1440
12,7,She’s waiting for her bus,svoc,pronoun,3,Shes,waiting,bus,NA,bkbg1207,1450.666667
12,8,The bread van's coming,sv,determiner,3,bread,vans,coming,NA,bkbg1208,1269.333333
12,9,They had some cold meat,svoc,pronoun,3,They,cold,meat,NA,bkbg1209,1237.333333
12,10,The football game's over,sv,determiner,3,football,games,over,NA,bkbg1210,1376
12,11,They carry some shopping bags,svoc,pronoun,4,They,carry,shopping,bags,bkbg1211,1664
12,12,The children help the milkman,svoc,determiner,3,children,help,milkman,NA,bkbg1212,1621.333333
12,13,The picture came from a book,svoc,determiner,3,picture,came,book,NA,bkbg1213,1536
12,14,The rice pudding was ready,sv,determiner,3,rice,pudding,ready,NA,bkbg1214,1418.666667
12,15,The boy had a toy dragon,svoc,determiner,3,boy,toy,dragon,NA,bkbg1215,1610.666667
12,16,A tree fell on the house,svoc,determiner,3,tree,fell,house,NA,bkbg1216,1610.666667
13,1,The fruit came in a box,svoc,determiner,3,fruit,came,box,NA,bkbg1301,1514.666667
13,2,The husband brings some flowers,svoc,determiner,3,husband,brings,flowers,NA,bkbg1302,1792
13,3,They’re playing in the park,svoc,pronoun,3,Theyre,playing,park,NA,bkbg1303,1365.333333
13,4,She argued with her sister,svoc,pronoun,3,She,argued,sister,NA,bkbg1304,1589.333333
13,5,A man told the police,svoc,determiner,3,man,told,police,NA,bkbg1305,1653.333333
13,6,Potatoes grow in the ground,svoc,noun,3,otatoes,row,ground,NA,bkbg1306,1802.666667
13,7,He’s cleaning his car,svoc,pronoun,3,Hes,cleaning,car,NA,bkbg1307,1269.333333
13,8,The mouse found the cheese,svoc,determiner,3,mouse,found,cheese,NA,bkbg1308,1482.666667
13,9,They waited for one hour,svoc,pronoun,4,They,waited,one,hour,bkbg1309,1376
13,10,The big dog was dangerous,sv,determiner,3,big,dog,dangerous,NA,bkbg1310,1578.666667
13,11,The strawberry jam was sweet,sv,determiner,3,strawberry,jam,sweet,NA,bkbg1311,1685.333333
13,12,The plant hangs above the door,svoc,determiner,4,plant,hangs,above,door,bkbg1312,1664
13,13,The children are all eating,sv,determiner,3,children,all,eating,NA,bkbg1313,1536
13,14,The boy has black hair,svoc,determiner,3,boy,black,hair,NA,bkbg1314,1408
13,15,The mother heard her baby,svoc,determiner,3,mother,heard,baby,NA,bkbg1315,1440
13,16,The lorry climbed the hill,svoc,determiner,3,lorry,climbed,hill,NA,bkbg1316,1440
14,1,The angry man shouted,sv,determiner,3,angry,man,shouted,NA,bkbg1401,1587.645833
14,2,The dog sleeps in a basket,svoc,determiner,3,dog,sleeps,basket,NA,bkbg1402,1802.666667
14,3,They’re drinking tea,sv,pronoun,3,Theyre,drinking,tea,NA,bkbg1403,1120
14,4,Mother opens the drawer,svoc,noun,3,Mother,opens,drawer,NA,bkbg1404,1418.666667
14,5,An old woman was at home,svoc,determiner,3,old,woman,home,NA,bkbg1405,1557.333333
14,6,He dropped his money,svoc,pronoun,3,He,dropped,money,NA,bkbg1406,1002.666667
14,7,They broke all the eggs,svoc,pronoun,4,They,broke,all,eggs,bkbg1407,1376
14,8,The kitchen window was clean,sv,determiner,3,kitchen,window,clean,NA,bkbg1408,1770.666667
14,9,The girl plays with the baby,svoc,determiner,3,girl,plays,baby,NA,bkbg1409,1642.666667
14,10,The big fish got away,sva,determiner,4,big,fish,got,away,bkbg1410,1578.666667
14,11,She’s helping her friend,svoc,pronoun,3,Shes,helping,friend,NA,bkbg1411,1504
14,12,The children washed the plates,svoc,determiner,3,children,washed,plates,NA,bkbg1412,1781.333333
14,13,The postman comes early,sva,determiner,3,postman,comes,early,NA,bkbg1413,1568
14,14,The sign showed the way,svoc,determiner,3,sign,showed,way,NA,bkbg1414,1600
14,15,The grass is getting long,sva,determiner,3,grass,getting,long,NA,bkbg1415,1600
14,16,The match fell on the floor,svoc,determiner,3,match,fell,floor,NA,bkbg1416,1621.333333
15,1,A man’s turning the tap,svoc,determiner,3,mans,turning,tap,NA,bkbg1501,1760
15,2,The fire was very hot,sv,determiner,3,fire,very,hot,NA,bkbg1502,1482.666667
15,3,He’s sucking his thumb,svoc,pronoun,3,Hes,sucking,thumb,NA,bkbg1503,1280
15,4,The shop closed for lunch,svoc,determiner,3,shop,closed,lunch,NA,bkbg1504,1866.666667
15,5,The driver starts the engine,svoc,determiner,3,driver,starts,engine,NA,bkbg1505,1813.333333
15,6,The boy hurried to school,svoc,determiner,3,boy,hurried,school,NA,bkbg1506,1600
15,7,Some nice people are coming,sv,determiner,3,nice,people,coming,NA,bkbg1507,1653.333333
15,8,She bumped her head,svoc,pronoun,3,She,bumped,head,NA,bkbg1508,1184
15,9,They met some friends,svoc,pronoun,4,They,met,some,friends,bkbg1509,1354.666667
15,10,Flowers grow in the garden,svoc,noun,3,Flowers,grow,garden,NA,bkbg1510,1578.666667
15,11,The tiny baby was pretty,sv,determiner,3,tiny,baby,pretty,NA,bkbg1511,1632
15,12,The daughter laid the table,svoc,determiner,3,daughter,laid,table,NA,bkbg1512,1472
15,13,They walked across the grass,svoc,pronoun,4,They,walked,across,grass,bkbg1513,1653.333333
15,14,The mother tied the string,svoc,determiner,3,mother,tied,string,NA,bkbg1514,1493.333333
15,15,The train stops at the station,svoc,determiner,3,train,stops,station,NA,bkbg1515,1813.333333
15,16,The puppy plays with a ball,svoc,determiner,3,puppy,plays,ball,NA,bkbg1516,1578.666667
16,1,The children wave at the train,svoc,determiner,3,children,wave,train,NA,bkbg1601,1728
16,2,Mother cut the Christmas cake,svoc,noun,4,Mother,cut,Christmas,cake,bkbg1602,1642.666667
16,3,He closed his eyes,svoc,pronoun,3,He,closed,eyes,NA,bkbg1603,1344
16,4,The raincoat's very wet,sv,determiner,3,raincoats,very,wet,NA,bkbg1604,1706.666667
16,5,A lady buys some butter,svoc,determiner,3,lady,buys,butter,NA,bkbg1605,1557.333333
16,6,They called an ambulance,svoc,pronoun,3,They,called,ambulance,NA,bkbg1606,1312
16,7,She’s paying for her bread,svoc,pronoun,3,Shes,paying,bread,NA,bkbg1607,1440
16,8,The policeman found a dog,svoc,determiner,3,policeman,found,dog,NA,bkbg1608,1504
16,9,Some men shave in the morning,svoc,determiner,3,men,shave,morning,NA,bkbg1609,1696
16,10,The driver lost his way,svoc,determiner,3,driver,lost,way,NA,bkbg1610,1450.666667
16,11,They stared at the picture,svoc,pronoun,3,They,stared,picture,NA,bkbg1611,1333.333333
16,12,The cat drank from a saucer,svoc,determiner,3,cat,drank,saucer,NA,bkbg1612,1728
16,13,The oven door was open,sv,determiner,3,oven,door,open,NA,bkbg1613,1429.333333
16,14,The cars going too fast,sva,determiner,4,cars,going,too,fast,bkbg1614,1728
16,15,The silly boy's hiding,sv,determiner,3,silly,boys,hiding,NA,bkbg1615,1536
16,16,The painter used a brush,svoc,determiner,3,painter,used,brush,NA,bkbg1616,1514.666667
17,1,The apple pie's cooking,sv,determiner,3,apple,pies,cooking,NA,bkbg1701,1504
17,2,He drinks from his mug,svoc,pronoun,3,He,drinks,mug,NA,bkbg1702,1248
17,3,The sky was very blue,sv,determiner,3,sky,very,blue,NA,bkbg1703,1589.333333
17,4,They knocked on the window,svoc,pronoun,3,They,knocked,window,NA,bkbg1704,1397.333333
17,5,The big boy kicked the ball,svoc,determiner,4,big,boy,kicked,ball,bkbg1705,1610.666667
17,6,People are going home,svoc,noun,3,People,going,home,NA,bkbg1706,1376
17,7,The baby wants his bottle,svoc,determiner,3,baby,wants,bottle,NA,bkbg1707,1440
17,8,The lady sat on her chair,svoc,determiner,3,lady,sat,chair,NA,bkbg1708,1696
17,9,They had some jam pudding,svoc,pronoun,3,They,jam,pudding,NA,bkbg1709,1397.333333
17,10,The scissors are quite sharp,sv,determiner,3,scissors,quite,sharp,NA,bkbg1710,1546.666667
17,11,She’s calling her daughter,svoc,pronoun,3,Shes,calling,daughter,NA,bkbg1711,1344
17,12,Some brown leaves fell off the tree,svoc,determiner,4,brown,leaves,fell,tree,bkbg1712,1964.916667
17,13,The milkman carried the cream,svoc,determiner,3,milkman,carried,cream,NA,bkbg1713,1802.666667
17,14,A girl ran along,sva,determiner,3,girl,ran,along,NA,bkbg1714,1376
17,15,The mother reads a paper,svoc,determiner,3,mother,reads,paper,NA,bkbg1715,1386.666667
17,16,The dog chased the cat,svoc,determiner,3,dog,chased,cat,NA,bkbg1716,1418.666667
18,1,The cake shop's opening,sv,determiner,3,cake,shops,opening,NA,bkbg1801,1376
18,2,They like orange marmalade,svoc,pronoun,4,They,like,orange,marmalade,bkbg1802,1610.666667
18,3,The mother shut the window,svoc,determiner,3,mother,shut,window,NA,bkbg1803,1504
18,4,He’s skating with his friend,svoc,pronoun,4,Hes,skating,with,friend,bkbg1804,1664
18,5,The cheese pie was good,sv,determiner,3,cheese,pie,good,NA,bkbg1805,1546.666667
18,6,Rain falls from clouds,svoc,noun,3,Rain,falls,clouds,NA,bkbg1806,1824
18,7,She talked to her doll,svoc,pronoun,3,She,talked,doll,NA,bkbg1807,1376
18,8,They painted the wall,svoc,pronoun,3,They,painted,wall,NA,bkbg1808,1205.333333
18,9,The towel dropped on the floor,svoc,determiner,3,towel,dropped,floor,NA,bkbg1809,1600
18,10,The dog's eating some meat,svoc,determiner,3,dogs,eating,meat,NA,bkbg1810,1546.666667
18,11,A boy broke the fence,svoc,determiner,3,boy,broke,fence,NA,bkbg1811,1589.333333
18,12,The yellow pears were lovely,sv,determiner,3,yellow,pears,lovely,NA,bkbg1812,1642.666667
18,13,The police help the driver,svoc,determiner,3,police,help,driver,NA,bkbg1813,1674.666667
18,14,The snow lay on the roof,svoc,determiner,3,snow,lay,roof,NA,bkbg1814,1696
18,15,The lady washed the shirt,svoc,determiner,3,lady,washed,shirt,NA,bkbg1815,1589.333333
18,16,The cup hangs on a hook,svoc,determiner,3,cup,hangs,hook,NA,bkbg1816,1589.333333
19,1,The family like fish,svoc,determiner,3,family,like,fish,NA,bkbg1901,1504
19,2,Sugar's very sweet,sv,noun,3,Sugars,very,sweet,NA,bkbg1902,1472
19,3,The baby lay on a rug,svoc,determiner,3,baby,lay,rug,NA,bkbg1903,1450.666667
19,4,The washing machine broke,sv,determiner,3,washing,machine,broke,NA,bkbg1904,1557.333333
19,5,They’re clearing the table,svoc,pronoun,3,Theyre,clearing,table,NA,bkbg1905,1322.666667
19,6,The cleaner swept the floor,svoc,determiner,3,cleaner,swept,floor,NA,bkbg1906,1632
